factory,eqpt_id,line,floor,unitid,unitname,eventtype,hostdataname,datatype,offset,dot,unit,spare1,spare2,spare3,plc_adr,itemno
D,AAPL0100,1,3,3,J0-J4,EDC,Date/Time,D,3,1, ,1251, , ,W1300,1
D,AAPL0100,1,3,3,J0-J4,EDC,B/L ID,A,11,1, ,1251, , ,W1303,2
D,AAPL0100,1,3,3,J0-J4,EDC,Unit ID,D,1,1, ,1251, , ,W130E,3
D,AAPL0100,1,3,3,J0-J4,EDC,Recipe ID,A,11,1, ,1251, , ,W130F,4
D,AAPL0100,1,3,3,J0-J4,EDC,RECIPE_NO,D,1,1, ,1251, , ,W131A,5
D,AAPL0100,1,3,3,J0-J4,EDC,J0_F_X_OFFSET,D,2,0.001, ,1251, , ,W131B,6
D,AAPL0100,1,3,3,J0-J4,EDC,J0_F_Y_OFFSET,D,2,0.001, ,1251, , ,W131D,7
D,AAPL0100,1,3,3,J0-J4,EDC,J0_F_T_OFFSET,D,2,0.001, ,1251, , ,W131F,8
D,AAPL0100,1,3,3,J0-J4,EDC,J0_PRINTER_PRESS,D,2,0.001, ,1251, , ,W1321,9
D,AAPL0100,1,3,3,J0-J4,EDC,UV1_LASER_ QUANTITY_SKY,D,2,1, ,1251, , ,W1323,10
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_SKY_SP,D,2,0.01, ,1251, , ,W1325,11
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_X_SKY_START,D,2,0.0001, ,1251, , ,W1327,12
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_X_SKY_END,D,2,0.0001, ,1251, , ,W1329,13
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_Y_SKY_START,D,2,0.0001, ,1251, , ,W132B,14
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_Y_SKY_END,D,2,0.0001, ,1251, , ,W132D,15
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_GND_SP,D,2,0.01, ,1251, , ,W132F,16
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_X_GND_START,D,2,0.0001, ,1251, , ,W1331,17
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_X_GND_END,D,2,0.0001, ,1251, , ,W1333,18
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_Y_GND_START,D,2,0.0001, ,1251, , ,W1335,19
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_Y_GND_END,D,2,0.0001, ,1251, , ,W1337,20
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_LGP_UP_ON TIME,D,2,0.1, ,1251, , ,W1339,21
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_LGP_UP_OFF TIME,D,2,0.1, ,1251, , ,W133B,22
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_UV_TANK_PRESS,D,2,0.001, ,1251, , ,W133D,23
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_REF_SP,D,2,0.01, ,1251, , ,W133F,24
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_X_REF_START,D,2,0.0001, ,1251, , ,W1341,25
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_X_REF_END,D,2,0.0001, ,1251, , ,W1343,26
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_Y_REF_START,D,2,0.0001, ,1251, , ,W1345,27
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_Y_REF_END,D,2,0.0001, ,1251, , ,W1347,28
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_REF_ON TIME,D,1,0.1, ,1251, , ,W1349,29
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_REF_OFF TIME,D,1,0.1, ,1251, , ,W134A,30
D,AAPL0100,1,3,3,J0-J4,EDC,J1-2_UV_TANK_PRESS,D,2,0.001, ,1251, , ,W134B,31
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_L/B_SP,D,2,0.01, ,1251, , ,W134D,32
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_X_LB_START,D,2,0.0001, ,1251, , ,W134F,33
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_X_LB_END,D,2,0.0001, ,1251, , ,W1351,34
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_Y_LB_START,D,2,0.0001, ,1251, , ,W1353,35
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_Y_LB_END,D,2,0.0001, ,1251, , ,W1355,36
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LB_ON TIME,D,1,0.1, ,1251, , ,W1357,37
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LB_OFF TIME,D,1,0.1, ,1251, , ,W1358,38
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_UV_TANK_PRESS,D,2,0.001, ,1251, , ,W1359,39
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LGP_DN_ON TIME,D,1,0.1, ,1251, , ,W135B,40
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LGP_DN_OFF TIME,D,1,0.1, ,1251, , ,W135C,41
D,AAPL0100,1,3,3,J0-J4,EDC,UV_1_LASER_ QUANTITY_GND,D,2,1, ,1251, , ,W135D,42
D,AAPL0100,1,3,3,J0-J4,EDC,J2_F_X_OFFSET,D,2,0.001, ,1251, , ,W135F,43
D,AAPL0100,1,3,3,J0-J4,EDC,J2_F_Y_OFFSET,D,2,0.001, ,1251, , ,W1361,44
D,AAPL0100,1,3,3,J0-J4,EDC,J2_F_T_OFFSET,D,2,0.001, ,1251, , ,W1363,45
D,AAPL0100,1,3,3,J0-J4,EDC,J2_LB_X_OFFSET,D,2,0.001, ,1251, , ,W1365,46
D,AAPL0100,1,3,3,J0-J4,EDC,J2_LB_Y_OFFSET,D,2,0.001, ,1251, , ,W1367,47
D,AAPL0100,1,3,3,J0-J4,EDC,J2_LB_T_OFFSET,D,2,0.001, ,1251, , ,W1369,48
D,AAPL0100,1,3,3,J0-J4,EDC,J2_F_SEARCH_NG,D,1,1, ,1251, , ,W136B,49
D,AAPL0100,1,3,3,J0-J4,EDC,J2_LB_SEARCH_NG,D,1,1, ,1251, , ,W136C,50
D,AAPL0100,1,3,3,J0-J4,EDC,UV_2_LASER_ QUANTITY_SKY,D,2,1, ,1251, , ,W136D,51
D,AAPL0100,1,3,3,J0-J4,EDC,UV_2_LASER_ QUANTITY_GND,D,2,1, ,1251, , ,W136F,52
D,AAPL0100,1,3,3,J0-J4,EDC,J2_ROBOT_VACUUM,D,2,0.1, ,1251, , ,W1371,53
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_X_OFFSET,D,2,0.001, ,1251, , ,W1373,54
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_Y_OFFSET,D,2,0.001, ,1251, , ,W1375,55
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_T_OFFSET,D,2,0.001, ,1251, , ,W1377,56
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_SEARCH_NG,D,1,1, ,1251, , ,W1379,57
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_HUM,D,2,0.1, ,1251, , ,W137A,58
D,AAPL0100,1,3,3,J0-J4,EDC,J3_REF_TEMP,D,2,0.1, ,1251, , ,W137C,59
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_LGP_UP_ON TIME_2,D,2,0.01, ,1251, , ,W137E,60
D,AAPL0100,1,3,3,J0-J4,EDC,J1-1_LGP_UP_OFF TIME_2,D,2,0.01, ,1251, , ,W1380,61
D,AAPL0100,1,3,3,J0-J4,EDC,J3_ROBOT_VACUUM,D,2,0.1, ,1251, , ,W1382,62
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_X_OFFSET,D,2,0.001, ,1251, , ,W1384,63
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_Y_OFFSET,D,2,0.001, ,1251, , ,W1386,64
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_T_OFFSET,D,2,0.001, ,1251, , ,W1388,65
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_SEARCH_NG,D,1,1, ,1251, , ,W138A,66
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_HUM,D,2,0.1, ,1251, , ,W138B,67
D,AAPL0100,1,3,3,J0-J4,EDC,J4_LGP_TEMP,D,2,0.1, ,1251, , ,W138D,68
D,AAPL0100,1,3,3,J0-J4,EDC,J1_3 REF_GAP_LEFT,D,2,0.01, ,1251, , ,W138F,69
D,AAPL0100,1,3,3,J0-J4,EDC,J1_3 REF_GAP_RIGHT,D,2,0.01, ,1251, , ,W1391,70
D,AAPL0100,1,3,3,J0-J4,EDC,J4_ROBOT_VACUUM,D,2,0.1, ,1251, , ,W1393,71
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LB_GLUE_GAP_LEFT,D,2,0.01,,1251,,,W1395,72
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LB_GLUE_WIDE_LEFT,D,2,0.01,,1251,,,W1397,73
D,AAPL0100,1,3,3,J0-J4,EDC,J1-3_LB_GLUE_GAP_RIGH,D,2,0.01,,1251,,,W1399,74
